Título Original,Título Alternativo,Año,Calificación,Duración (min),Clasificación,Género,Sinopsis,URL,Plataforma
Inside Out,Intensa Mente,2015,8.1,95,AA,"Animación, Aventura, Comedia","Riley es una chica que padece toda clase de sentimientos, y aunque su vida ha estado marcada por la alegría, también se ve afectada por otras emociones. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley.",https://www.imdb.com/title/tt2096673/,Ninguna Plataforma
The Wild Robot,Robot Salvaje,2024,8.2,102,A,"Animación, Ciencia ficción","Tras un naufragio, un robot inteligente llamado Roz queda varado en una isla deshabitada. Para sobrevivir al duro entorno, Roz establece vínculos con los animales de la isla y cuida de una cría de ganso huérfana.",https://www.imdb.com/title/tt29623480/,Ninguna Plataforma
"Three Billboards Outside Ebbing, Missouri",Tres anuncios por un crimen,2017,8.1,115,B15,"Comedia, Crimen, Drama",Una madre desafía personalmente a las autoridades locales a resolver el asesinato de su hija cuando no logran atrapar al culpable.,https://www.imdb.com/title/tt5027774/,Disney Plus
The Bridge on the River Kwai,El puente sobre el río Kwai,1957,8.1,161,PG,"Aventura, Drama, Guerra",Un coronel británico y sus hombres cooperan con fuerzas japonesas en la construcción de un puente sin saber que los Aliados planean destruirlo.,https://www.imdb.com/title/tt0050212/,Ninguna Plataforma
Trainspotting,Trainspotting: La vida en el abismo,1996,8.1,93,C,Drama,"Renton, profundamente inmerso en el mundo de las drogas en Edimburgo, trata de salirse del entorno a pesar de la mala influencia de los amigos.",https://www.imdb.com/title/tt0117951/,Ninguna Plataforma
Raging Bull,El toro salvaje,1980,8.1,129,C,"Biografía, Drama, Deportes","La vida del boxeador Jake LaMotta, que ve cómo la violencia y el temperamento que lo llevan a lo más alto en el ring, destruyen su vida fuera de él.",https://www.imdb.com/title/tt0081398/,Ninguna Plataforma
Catch Me If You Can,Atrápame si puedes,2002,8.1,141,B,"Biografía, Crimen, Drama","Un veterano agente del FBI le sigue la pista a Frank Abagnale Jr., quien antes de cumplir 19 años ha forjado millones de dólares en cheques haciéndose pasar por piloto, doctor y abogado.",https://www.imdb.com/title/tt0264464/,Ninguna Plataforma
Fargo,Fargo. Secuestro voluntario,1996,8.1,98,B15,"Crimen, Drama, Suspenso",Los crímenes de Jerry Lundegaard se caen a pedazos gracias a la torpeza de sus hombres y al persistente trabajo de la oficial de policía Marge Gunderson.,https://www.imdb.com/title/tt0116282/,Ninguna Plataforma
Warrior,La última pelea,2011,8.1,140,B,"Acción, Drama, Deportes","El hijo pequeño de un ex boxeador alcohólico vuelve a casa, donde su padre le entrena para un torneo de artes marciales mixtas.",https://www.imdb.com/title/tt1291584/,"Max, Netflix"
Harry Potter and the Deathly Hallows - Part 2,Harry Potter y las reliquias de la muerte (parte 2),2011,8.1,130,PG,"Aventura, Familia, Fantasía","Harry, Ron y Hermione buscan los Horcruxes restantes de Voldemort en su esfuerzo por destruir al Señor Oscuro mientras la batalla final continúa en Hogwarts.",https://www.imdb.com/title/tt1201607/,Max
Gran Torino,Gran Torino,2008,8.1,116,B,Drama,"Walt Kowalski, un veterano de la Guerra de Corea, intenta reformar a su vecino adolescente cuando este intenta robarle su posesión más preciada: un Gran Torino de 1972.",https://www.imdb.com/title/tt1205489/,Ninguna Plataforma
Million Dollar Baby,Golpes del destino,2004,8.1,132,B,"Drama, Deportes",Una mujer llena de determinación se prepara para convertirse en profesional del boxeo con ayuda de su entrenador.,https://www.imdb.com/title/tt0405159/,"Amazon Prime Video, Netflix, MUBI, Claro video"
Tonari no Totoro,Mi vecino Totoro,1988,8.1,86,A,"Animación, Comedia, Familia","Cuando dos jóvenes chicas se mudan al campo para estar cerca de su madre enferma, tienen aventuras con los maravillosos espíritus del bosque que viven cerca.",https://www.imdb.com/title/tt0096283/,Ninguna Plataforma
Spider-Man: No Way Home,Spider-Man: Sin Camino A Casa,2021,8.2,148,B,"Acción, Aventura, Fantasía","Con la identidad de Spider-Man revelada, Peter le pide ayuda al Doctor Strange. Cuando un hechizo sale mal, comienzan a aparecer enemigos de otros mundos, lo que obliga a Peter a descubrir lo que realmente significa ser Spider-Man.",https://www.imdb.com/title/tt10872600/,Netflix
Mad Max: Fury Road,Mad Max: Furia en el camino,2015,8.1,120,B-15,"Acción, Aventura, Ciencia ficción","En un lugar post-apocalíptico, una mujer se rebela contra un gobernante tiránico en busca de su tierra natal con la ayuda de un grupo de mujeres prisioneras, un devoto psicótico y un vagabundo llamado Max.",https://www.imdb.com/title/tt1392190/,"Amazon Prime Video, Max"
Ben-Hur,Ben-Hur,1959,8.1,212,7,"Aventura, Drama","Cuando un príncipe de Jerusalén es traicionado y enviado a la esclavitud por un amigo romano, recupera su libertad y regresa para vengarse.",https://www.imdb.com/title/tt0052618/,Ninguna Plataforma
Bacheha-ye aseman,Los niños del cielo,1997,8.2,89,PG,"Drama, Familia, Deportes","Los zapatos de Zohre se han perdido, su hermano mayor Ali se los perdió e intentará encontrárselos de nuevo.",https://www.imdb.com/title/tt0118849/,Ninguna Plataforma
Barry Lyndon,Barry Lyndon,1975,8.1,185,B,"Aventura, Drama, Guerra",Un irlandés sin escrúpulos enamora a una viuda adinerada y adopta la posición aristocrática que ocupaba su marido en la Inglaterra del siglo 18.,https://www.imdb.com/title/tt0072684/,Ninguna Plataforma
12 Years a Slave,12 años esclavo,2013,8.1,134,B15,"Biografía, Drama, Historia","En los Estados Unidos antes de la guerra, Solomon Northup, un hombre negro libre del estado de Nueva York, es secuestrado y vendido como esclavo.",https://www.imdb.com/title/tt2024544/,Amazon Prime Video
Before Sunrise,Antes del amanecer,1995,8.1,101,A,"Drama, Romance","Un joven y una mujer se conocen en un tren en Europa y terminan pasando una noche juntos en Viena. Desafortunadamente, ambos saben que esta será probablemente la única noche que estén juntos.",https://www.imdb.com/title/tt0112471/,Ninguna Plataforma
Dead Poets Society,La sociedad de los poetas muertos,1989,8.1,128,B,"Comedia, Drama",Un profesor de inglés inspira a sus alumnos a mirar la poesía con una perspectiva diferente.,https://www.imdb.com/title/tt0097165/,Disney Plus
Blade Runner,Blade Runner,1982,8.1,117,C,"Acción, Drama, Ciencia ficción",Un cazador implacable debe perseguir y acabar con los que robaron una nave en el espacio y han regresado a la Tierra para encontrar a su creador.,https://www.imdb.com/title/tt0083658/,Ninguna Plataforma
The Grand Budapest Hotel,El gran hotel Budapest,2014,8.1,99,B15,"Aventura, Comedia, Crimen","Relata las aventuras de Gustave, un legendario conserje en un hotel de la ficticia República de Zubrowka, y Zero Moustafa, el chico del lobby que se convierte en su amigo más confiable.",https://www.imdb.com/title/tt2278388/,Disney Plus
Hacksaw Ridge,Hasta el último hombre,2016,8.1,139,B15,"Biografía, Drama, Historia","El médico del ejército estadounidense Desmond T. Doss, se niega a matar personas y se convierte en el primer hombre en la historia de Estados Unidos en recibir la Medalla de Honor sin disparar un tiro.",https://www.imdb.com/title/tt2119532/,Max
Gone Girl,Perdida,2014,8.1,149,B15,"Drama, Misterio, Suspenso","Tras la desaparición de su esposa,un hombre se ve atrapado en un gran circo formado por los medios, cuando se sospecha que él puede ser el culpable.",https://www.imdb.com/title/tt2267998/,Disney Plus
Salinui chueok,Salinui chueok,2003,8.1,131,18+,"Crimen, Drama, Misterio","En una pequeña provincia coreana en 1986, tres detectives buscan al culpable de una serie de violaciones y asesinatos de mujeres jóvenes.",https://www.imdb.com/title/tt0353969/,Ninguna Plataforma
In the Name of the Father,En el nombre del padre,1993,8.1,133,B,"Biografía, Crimen, Drama",La confesión forzada de un hombre sobre un atentado del IRA que no cometió tuvo como resultado el encarcelamiento de su padre también. Un abogado inglés lucha por liberar a ambos.,https://www.imdb.com/title/tt0107207/,Ninguna Plataforma
"Monsters, Inc.","Monsters, Inc.",2001,8.1,92,AA,"Animación, Aventura, Comedia","Para alimentar la ciudad, los monstruos tienen que asustar a los niños para que griten. Sin embargo, los niños son tóxicos para los monstruos, y después de que un niño pasa, dos monstruos se dan cuenta de que las cosas pueden no ser lo que ellos piensan.",https://www.imdb.com/title/tt0198781/,Disney Plus
Ratatouille,Ratatouille,2007,8.1,111,A,"Animación, Aventura, Comedia",Una rata que puede cocinar forja una inusual alianza con un joven en un famoso restaurante de París.,https://www.imdb.com/title/tt0382932/,Disney Plus
The Gold Rush,La quimera del oro,1925,8.1,95,Approved,"Aventura, Comedia, Drama","Un buscador de oro se va en busca de fortuna al Klondike, y encuentra oro y mucho más.",https://www.imdb.com/title/tt0015864/,Ninguna Plataforma
Relatos salvajes,Relatos salvajes,2014,8.1,122,B-15,"Comedia, Drama, Suspenso","Seis historias que alternan la intriga, la comedia, la violencia, y en donde sus personajes se verán empujados hacia el abismo y hacia el innegable placer de perder el control, cruzando la delgada línea que separa la civilización de la barbarie.",https://www.imdb.com/title/tt3011894/,Max
How to Train Your Dragon,Cómo entrenar a tu dragón,2010,8.1,98,AA,"Animación, Acción, Aventura","Un joven vikingo desventurado que aspira a cazar dragones se convierte en el improbable amigo de un joven dragón, y descubre que las criaturas pueden tener más de lo que él suponía.",https://www.imdb.com/title/tt0892769/,Claro video
Sherlock Jr.,Sherlock Jr.,1924,8.2,45,Passed,"Acción, Comedia, Romance",Un proyeccionista anhela convertirse en detective y la oportunidad se le presenta cuando un competidor le tiende una trampa.,https://www.imdb.com/title/tt0015324/,Ninguna Plataforma
Jaws,Tiburón,1975,8.1,124,B,"Aventura, Drama, Terror","Cuando un tiburón asesino desata el caos en una playa, un sheriff local, un biólogo marino y un viejo marinero deberan dar cazar al animal.",https://www.imdb.com/title/tt0073195/,"Amazon Prime Video, Claro video"
Mary and Max.,Mary and Max,2009,8.1,92,B,"Animación, Comedia, Drama","La larga amistad por correspondencia entre un judío de Nueva York, y una niña australiana de 8 años que vive en los suburbios de Melbourne.",https://www.imdb.com/title/tt0978762/,Ninguna Plataforma
The Deer Hunter,El francotirador,1978,8.1,183,C,"Drama, Guerra",Un detallado retrato de las formas en que la Guerra de Vietnam interrumpió las vidas de los habitantes de una pequeña ciudad industrial de Pennsylvania.,https://www.imdb.com/title/tt0077416/,Ninguna Plataforma
The General,La General,1926,8.1,78,A,"Acción, Aventura, Comedia","Cuando unos espías de la Unión roban la amada locomotora de un maquinista, este les persigue en solitario a través de las líneas enemigas.",https://www.imdb.com/title/tt0017925/,Ninguna Plataforma
Ford v Ferrari,Contra lo imposible,2019,8.1,152,B,"Acción, Biografía, Drama","El diseñador de carros Carroll Shelby y el conductor Ken Miles luchan contra interferencias en la empresa, las leyes de la física y sus demonios personales al construir un revolucionario carro de carreras para Ford y retar a Ferrari en Le Mans en 1966.",https://www.imdb.com/title/tt1950186/,"Disney Plus, Amazon Prime Video"
Le salaire de la peur,El salario del miedo,1953,8.1,156,Not Rated,"Aventura, Drama, Suspenso","En un ruinoso pueblo de América del Sur, contratan a cuatro hombres para el transporte urgente de un cargamento de nitroglicerina sin las condiciones necesarias de seguridad.",https://www.imdb.com/title/tt0046268/,Ninguna Plataforma
On the Waterfront,Nido de ratas,1954,8.1,108,A,"Crimen, Drama, Suspenso","Un ex boxeador de Nueva Jersey, ahora trabajador portuario, lucha por enfrentarse a sus jefes sindicales corruptos, incluido su hermano mayor, mientras comienza a conectar con la hermana de una de las víctimas del sindicato.",https://www.imdb.com/title/tt0047296/,Max
Mr. Smith Goes to Washington,Caballero sin espada,1939,8.1,129,Approved,"Comedia, Drama","Se nombra a un hombre ingenuo para cubrir una vacante en el Senado de los Estados Unidos. Sus planes chocan rápidamente con la corrupción política, pero no retrocede.",https://www.imdb.com/title/tt0031679/,Ninguna Plataforma
Smultronstället,Fresas silvestres,1957,8.1,92,B15,"Drama, Romance","Después de vivir una vida marcada por la frialdad, un profesor debe hacer frente en su vejez al vacío de su existencia.",https://www.imdb.com/title/tt0050986/,Ninguna Plataforma
Logan,Logan. Wolverine,2017,8.1,137,C,"Acción, Drama, Ciencia ficción","En un futuro donde casi todos los mutantes están extintos, el joven Logan vive modestamente hasta que Laura, una niña mutante, es perseguida por científicos.",https://www.imdb.com/title/tt3315342/,Disney Plus
The Third Man,El tercer hombre,1949,8.1,104,16,"Drama, Cine negro, Misterio","La novelista Holly Martins viaja a la Viena de posguerra y acaba investigando la misteriosa muerte de un viejo amigo, Harry Lime.",https://www.imdb.com/title/tt0041959/,Ninguna Plataforma
Rocky,Rocky,1976,8.1,120,A,"Drama, Deportes",Un boxeador novato tiene una oportunidad extraordinariamente rara de pelear contra un campeón de peso pesado en una pelea en la que se esforzará por ganar respeto.,https://www.imdb.com/title/tt0075148/,Ninguna Plataforma
Maharaja,Maharaja,2024,8.4,141,Desconocido,"Acción, Crimen, Drama","Un barbero busca venganza después de un robo en su casa y le dice crípticamente a la policía que se han llevado su ""lakshmi"", lo que los deja sin saber si se trata de una persona u objeto. Su afán por recuperarlo se despliega.",https://www.imdb.com/title/tt26548265/,Netflix
Tôkyô monogatari,Cuentos de Tokio,1953,8.1,137,A,Drama,"Un matrimonio de ancianos viaja a Tokio a visitar a sus hijos pero encuentran indiferencia, ingratitud egoísmo y una marcada diferencia cultural. Cuando los impacientes hijos envían a los ancianos de vuelta a casa, entramos en una profunda reflexión acerca de la mortalidad y la familia.",https://www.imdb.com/title/tt0046438/,Ninguna Plataforma
The Big Lebowski,El gran Lebowski: Identidad peligrosa,1998,8.1,117,B-15,"Comedia, Crimen","El nota, un vago que vive en Los Angeles, un día es confundido por un par de matones con un millonario con quien sólo comparte apellido. Después de que orinen en su alfombra, el Nota inicia la búsqueda del magnate.",https://www.imdb.com/title/tt0118715/,Ninguna Plataforma
Spotlight,En primera plana,2015,8.1,129,B,"Biografía, Crimen, Drama","La sorprendente historia de cómo el Boston Globe descubrió el escándalo masivo de abuso infantil dentro de una Arquidiócesis Católica, sacudiendo así a toda la Iglesia.",https://www.imdb.com/title/tt1895587/,Ninguna Plataforma
Det sjunde inseglet,El séptimo sello,1957,8.1,96,B,"Drama, Fantasía","Un hombre busca respuestas sobre la vida, la muerte y la existencia de Dios mientras juega al ajedrez contra la muerte durante la Peste Negra.",https://www.imdb.com/title/tt0050976/,Ninguna Plataforma
The Terminator,Terminator,1984,8.1,107,B,"Acción, Aventura, Ciencia ficción","Un robot aparentemente indestructible es enviado a 1984 para asesinar a una camarera, cuyo hijo no nacido dirigirá a la humanidad en una guerra contra máquinas inteligentes, mientras que un soldado humano de la misma guerra es enviado para protegerla a toda costa.",https://www.imdb.com/title/tt0088247/,Ninguna Plataforma
Room,La Habitacion,2015,8.1,118,B,"Drama, Suspenso","Tras permanecer cautivos en un espacio cerrado durante años, una madre y su hijo encuentran la libertad, permitiéndole al niño experimentar el mundo exterior por primera vez.",https://www.imdb.com/title/tt3170832/,Max
Pirates of the Caribbean: The Curse of the Black Pearl,Piratas del Caribe: La maldición de la Perla Negra,2003,8.1,143,B,"Acción, Aventura, Fantasía","El herrero Will Turner se une al Capitán Jack Sparrow para salvar a su amor, la hija del gobernador, de los antiguos aliados piratas de Jack, que ahora resultan estar vivos.",https://www.imdb.com/title/tt0325980/,Disney Plus
La haine,El odio,1995,8.1,98,C,"Crimen, Drama",Veinticuatro horas en la vida de tres jóvenes en los suburbios franceses un día después de un violento amotinamiento.,https://www.imdb.com/title/tt0113247/,Ninguna Plataforma
Jai Bhim,Jai Bhim,2021,8.7,164,Approved,"Crimen, Drama","Cuando un hombre de una tribu es arrestado por un caso de presunto robo, su esposa recurre a un abogado de derechos humanos para que la ayude a hacer justicia.",https://www.imdb.com/title/tt15097216/,Amazon Prime Video
Hotel Rwanda,Hotel Ruanda,2004,8.1,121,B,"Biografía, Drama, Historia",Paul Rusesabagina fue un gerente de hotel que dio refugio a miles de refugiados Tutsi durante sus esfuerzos contra la milicia Hutu en Ruanda.,https://www.imdb.com/title/tt0395169/,Ninguna Plataforma
Platoon,Pelotón,1986,8.1,120,B15,"Drama, Guerra",Un joven soldado en Vietnam se enfrenta a una crisis moral cuando se enfrenta a los horrores de la guerra y a la dualidad del hombre.,https://www.imdb.com/title/tt0091763/,Ninguna Plataforma
Before Sunset,Antes del atardecer,2004,8.1,80,B,"Drama, Romance","Nueve años después de conocerse, Jesse y Celine se reencuentran durante la gira del libro de Jesse en Francia.",https://www.imdb.com/title/tt0381681/,Ninguna Plataforma
The Best Years of Our Lives,Los mejores años de nuestras vidas,1946,8.1,170,Approved,"Drama, Romance, Guerra","Tres hombres que regresan de la guerra a su ciudad realizan juntos la etapa final del viaje y entablan amistad. Cada uno se encuentra, a su manera, con dificultades para adaptarse de nuevo a una vida normal.",https://www.imdb.com/title/tt0036868/,Ninguna Plataforma
The Exorcist,El exorcista,1973,8.1,122,C,Terror,"Cuando una adolescente es poseída por una entidad misteriosa, su madre busca la ayuda de dos sacerdotes para salvar a su hija.",https://www.imdb.com/title/tt0070047/,Max
La passion de Jeanne d'Arc,La pasión de Juana de Arco,1928,8.1,110,B,"Biografía, Drama, Historia","La joven francesa Juana de Arco, salvadora de la patria frente a los ingleses, y que declara sentirse inspirada directamente por Dios, se enfrenta a su procesamiento y a una posible condena a muerte.",https://www.imdb.com/title/tt0019254/,Ninguna Plataforma
The Wizard of Oz,El mago de Oz,1939,8.1,102,A,"Aventura, Familia, Fantasía","Dorothy Gale es arrastrada por un tornado desde una granja en Kansas a la mágica tierra de Oz, y se embarca en una misión con sus nuevos amigos para encontrar al Mago que pueda ayudarla a volver a casa y ayudar a sus amigos.",https://www.imdb.com/title/tt0032138/,Ninguna Plataforma
The Incredibles,Los increíbles,2004,8.0,115,A,"Animación, Acción, Aventura",Una familia de superhéroes encubiertos tratando de vivir una tranquila vida suburbana se ven obligados a actuar para salvar al mundo.,https://www.imdb.com/title/tt0317705/,Disney Plus
The Sound of Music,La novicia rebelde,1965,8.1,172,A,"Biografía, Drama, Familia",Una mujer abandona un convento austríaco para convertirse en la aprendiz de los hijos de un oficial naval viudo.,https://www.imdb.com/title/tt0059742/,Ninguna Plataforma
Rush,Rush: Pasión y gloria,2013,8.1,123,B15,"Biografía, Drama, Deportes","La implacable rivalidad de los años setenta entre los pilotos de fórmula uno, James Hunt y Niki Lauda.",https://www.imdb.com/title/tt1979320/,"Adrenalina Pura Amazon channel, Adrenalina Pura Apple TV channel"
Hachi: A Dog's Tale,Siempre a tu lado,2009,8.1,93,A,"Biografía, Drama, Familia",Un profesor universitario crea un vínculo con un perro abandonado al que acoge.,https://www.imdb.com/title/tt1028532/,Amazon Prime Video
Stand by Me,Cuenta conmigo,1986,8.1,89,B,"Aventura, Comedia, Drama","Tras la muerte de un amigo, un escritor recuerda un viaje de juventud para encontrar el cuerpo de un chico desaparecido.",https://www.imdb.com/title/tt0092005/,Ninguna Plataforma
Kimetsu no Yaiba: Tsuzumi Yashiki-hen,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,8.5,87,Desconocido,"Animación, Acción, Fantasía","Tanjiro se aventura hacia el sur-sureste, donde se encuentra con un joven cobarde llamado Zenitsu Agatsuma. Es un compañero superviviente de la Selección Final y su gorrión le pide a Tanjiro que le ayude a mantenerlo a raya.",https://www.imdb.com/title/tt16492678/,Ninguna Plataforma
Network,Poder que mata,1976,8.1,121,R,Drama,Una cadena de televisión explota cínicamente los desvaríos y las revelaciones de un antiguo miembro para su propio beneficio.,https://www.imdb.com/title/tt0074958/,Ninguna Plataforma
Babam ve Oglum,Mi padre y mi hijo,2005,8.2,112,Not Rated,"Drama, Familia",La familia de un periodista de izquierda queda destrozada tras el golpe militar de Turquía en 1980.,https://www.imdb.com/title/tt0476735/,Ninguna Plataforma
Ah-ga-ssi,The Handmaiden,2016,8.1,145,B15,"Drama, Romance, Suspenso","Una mujer es contratada como sirvienta de una heredera japonesa, pero en secreto está involucrada en un complot para robar su herencia.",https://www.imdb.com/title/tt4016934/,FilmBox+
The Iron Giant,El gigante de hierro,1999,8.1,86,A,"Animación, Acción, Aventura",Un joven se hace amigo de un robot gigante del espacio exterior al que un agente paranoico del gobierno quiere destruir.,https://www.imdb.com/title/tt0129167/,Ninguna Plataforma
To Be or Not to Be,Ser o no ser,1942,8.1,99,Approved,"Comedia, Romance, Guerra","Durante la ocupación nazi de Polonia, un grupo de actores se ve envuelto en las actividades de un soldado polaco que intenta encontrar a un espía alemán.",https://www.imdb.com/title/tt0035446/,Ninguna Plataforma
La battaglia di Algeri,La batalla de Argel,1966,8.1,121,Not Rated,"Drama, Guerra","En la década de los 50, el miedo y la violencia aumentan a medida que la gente de Algiers lucha por la independencia del gobierno francés.",https://www.imdb.com/title/tt0058946/,Ninguna Plataforma
Into the Wild,Camino salvaje,2007,8.1,148,B15,"Aventura, Biografía, Drama","Tras graduarse, Christopher abandona todas sus posesiones, dona todo su dinero a la caridad, y camina hasta Alaska, donde vive en el bosque. A lo largo de su viaje, encuentra a varios personajes que dan forma a su vida.",https://www.imdb.com/title/tt0758758/,Ninguna Plataforma
The Grapes of Wrath,Las viñas de la ira,1940,8.1,129,B,Drama,"Una familia pobre del Medio Oeste se ve obligada a abandonar sus tierras. Viajan a California, sufriendo las desgracias de las personas sin hogar en la Gran Depresión.",https://www.imdb.com/title/tt0032551/,Ninguna Plataforma
Groundhog Day,Hechizo del tiempo,1993,8.0,101,A,"Comedia, Drama, Fantasía",Un hombre del tiempo revive inexplicablemente el mismo día una y otra vez.,https://www.imdb.com/title/tt0107048/,Ninguna Plataforma
Koe no katachi,Una voz silenciosa: Koe No Katachi,2016,8.1,130,B,"Animación, Drama","Un joven es condenado al ostracismo por sus compañeros de clase tras intimidar a una chica sorda hasta el punto de hacerla cambiar de escuela. Años más tarde, emprende el camino hacia la redención.",https://www.imdb.com/title/tt5323662/,Ninguna Plataforma
The Help,Historias cruzadas,2011,8.1,146,B,Drama,Un aspirante a autor durante el movimiento de derechos civiles de la década de 1960 decide escribir un libro que detalla el punto de vista de las sirvientas afroamericanas sobre las familias blancas para las que trabajan y las dificultades que atraviesan a diario.,https://www.imdb.com/title/tt1454029/,Disney Plus
Amores perros,Amores perros,2000,8.0,154,C,"Drama, Suspenso","Un horrible accidente automovilístico conecta tres historias, cada una de las cuales involucra personajes que tratan con la pérdida, el arrepentimiento y las duras realidades de la vida, todo en nombre del amor.",https://www.imdb.com/title/tt0245712/,Netflix
Rebecca,"Rebeca, una mujer inolvidable",1940,8.1,130,B,"Drama, Misterio, Romance",Una exitosa mujer de negocios entra en un juego peligroso cuando decide seguirle la pista al hombre que la violó.,https://www.imdb.com/title/tt0032976/,Ninguna Plataforma
Drishyam,Drishyam,2015,8.2,163,Not Rated,"Crimen, Drama, Misterio","Un hombre toma medidas desesperadas que intentan salvar a su familia del lado oscuro de la ley, luego de que cometen un crimen inesperado.",https://www.imdb.com/title/tt4430212/,Netflix
